title,url,tap,coder,time
Chân Mệnh Thiên Tử - Tập 32 , https://ucarecdn.com/0fe4d656-42b3-415b-a7eb-dd8160b4b710/chanmenhthientutap32.mp4 , Tập 32 , Tống Trần Kiên , 41:55
Chân Mệnh Thiên Tử - Tập 33 , https://ucarecdn.com/99ceb8aa-62ca-45a5-b922-32afed78b7b3/chanmenhthientutap33.mp4 , Tập 33 , Tống Trần Kiên , 42:16
Chân Mệnh Thiên Tử - Tập 34 , https://ucarecdn.com/6ac2beab-c739-4989-b0bb-769157a8da46/chanmenhthientutap34.mp4 , Tập 34 , Tống Trần Kiên , 42:29
Chân Mệnh Thiên Tử - Tập 35 , https://ucarecdn.com/69888583-172f-48c8-b24b-2d3d181fbcfd/chanmenhthientutap35.mp4 , Tập 35 , Tống Trần Kiên , 41:54
Chân Mệnh Thiên Tử - Tập 36 , https://ucarecdn.com/d0b3006f-832f-433a-80b9-0d35c4492971/chanmenhthientutap36.mp4 , Tập 36 , Tống Trần Kiên , 41:55
Chân Mệnh Thiên Tử - Tập 37 , https://ucarecdn.com/48bea27b-495d-4c40-be7b-eea2d415cdec/chanmenhthientutap37.mp4 , Tập 37 , Tống Trần Kiên , 43:39
Chân Mệnh Thiên Tử - Tập 38 , https://ucarecdn.com/544f93e3-29fb-4ab5-aed2-4175647595d7/chanmenhthientutap38.mp4 , Tập 38 , Tống Trần Kiên , 42:25
Chân Mệnh Thiên Tử - Tập 39 , https://ucarecdn.com/2f05e9bb-1666-4c28-822b-897a4f75b41c/chanmenhthientutap39.mp4 , Tập 39 , Tống Trần Kiên , 42:28
Chân Mệnh Thiên Tử - Tập 40 , https://ucarecdn.com/fa2b3b5c-ebfe-4b3a-833d-6bce3e1716b2/chanmenhthientutap40.mp4 , Tập 40 , Tống Trần Kiên , 42:23
Chân Mệnh Thiên Tử - Tập 41 , https://ucarecdn.com/8fbfc8ce-8bc3-4c96-a779-65154e58c6b8/chanmenhthientutap41.mp4 , Tập 41 , Tống Trần Kiên , 42:31
Chân Mệnh Thiên Tử - Tập 42 , https://ucarecdn.com/7b38daab-6ce1-489e-a8e0-d03361d677a9/chanmenhthientutap42.mp4 , Tập 42 , Tống Trần Kiên , 42:26
Chân Mệnh Thiên Tử - Tập 43 , https://ucarecdn.com/52a00f0d-ef17-4aa5-97b6-1121df41a706/chanmenhthientutap43.mp4 , Tập 43 , Tống Trần Kiên , 42:53
Chân Mệnh Thiên Tử - Tập 44 , https://ucarecdn.com/9f18f7de-c090-44b9-8e8b-cb3230a86280/chanmenhthientutap44.mp4 , Tập 44 , Tống Trần Kiên , 42:29
Chân Mệnh Thiên Tử - Tập 45 , https://ucarecdn.com/780b8f5f-6b3e-466d-8796-4388796e47af/chanmenhthientutap45.mp4 , Tập 45 , Tống Trần Kiên , 43:02
Chân Mệnh Thiên Tử - Tập 46 , https://ucarecdn.com/645bbfbf-eac1-432c-aca8-fd7f785c0881/chanmenhthientutap46.mp4 , Tập 46 , Tống Trần Kiên , 42:24
Chân Mệnh Thiên Tử - Tập 47 , https://ucarecdn.com/24c2cf00-b7e3-47e5-9073-469ccba27050/chanmenhthientutap47.mp4 , Tập 47 , Tống Trần Kiên , 42:11
Chân Mệnh Thiên Tử - Tập 48 , https://ucarecdn.com/d4f6742c-db48-4c79-a47a-12e1673edfc3/chanmenhthientutap48.mp4 , Tập 48 , Tống Trần Kiên , 42:05
Chân Mệnh Thiên Tử - Tập 49 , https://ucarecdn.com/1048b2bc-96db-4261-8d48-8e79543eb197/chanmenhthientutap49.mp4 , Tập 49 , Tống Trần Kiên , 42:04
Chân Mệnh Thiên Tử - Tập 50 , https://ucarecdn.com/96cf1354-ecce-4556-aade-77454213eac3/chanmenhthientutap50.mp4 , Tập 50 , Tống Trần Kiên , 41:55
Chân Mệnh Thiên Tử - Tập 51 ( Tập Cuối ) , https://ucarecdn.com/e056e7d0-1f48-4a7b-843e-d82c8c609107/chanmenhthientutap51.mp4 , Tập 51 , Tống Trần Kiên , 42:56
